algorithm,pid,arrival_time,burst_time,priority,waiting_time,turnaround_time,response_time,completion_time
FCFS,0,4,16,2,0,16,0,20
FCFS,1,9,5,1,11,16,11,25
FCFS,2,14,8,1,11,19,11,33
FCFS,3,14,10,2,19,29,19,43
FCFS,4,14,11,3,29,40,29,54
FCFS,5,17,2,4,37,39,37,56
FCFS,6,20,12,2,36,48,36,68
FCFS,7,26,4,0,42,46,42,72
FCFS,8,27,16,4,45,61,45,88
FCFS,9,29,14,3,59,73,59,102
FCFS,10,29,19,3,73,92,73,121
FCFS,11,31,16,0,90,106,90,137
FCFS,12,34,8,1,103,111,103,145
FCFS,13,35,20,3,110,130,110,165
FCFS,14,38,9,4,127,136,127,174
FCFS,15,38,8,2,136,144,136,182
FCFS,16,38,19,4,144,163,144,201
FCFS,17,39,9,4,162,171,162,210
FCFS,18,41,3,1,169,172,169,213
FCFS,19,41,10,4,172,182,172,223
FCFS,20,44,17,1,179,196,179,240
FCFS,21,44,5,1,196,201,196,245
FCFS,22,48,10,3,197,207,197,255
FCFS,23,51,4,3,204,208,204,259
FCFS,24,52,15,0,207,222,207,274
SJF,0,4,16,2,0,16,0,20
SJF,1,9,5,1,13,18,13,27
SJF,2,14,8,1,17,25,17,39
SJF,3,14,10,2,71,81,71,95
SJF,4,14,11,3,101,112,101,126
SJF,5,17,2,4,3,5,3,22
SJF,6,20,12,2,106,118,106,138
SJF,7,26,4,0,1,5,1,31
SJF,8,27,16,4,140,156,140,183
SJF,9,29,14,3,109,123,109,152
SJF,10,29,19,3,187,206,187,235
SJF,11,31,16,0,152,168,152,199
SJF,12,34,8,1,5,13,5,47
SJF,13,35,20,3,219,239,219,274
SJF,14,38,9,4,29,38,29,76
SJF,15,38,8,2,21,29,21,67
SJF,16,38,19,4,197,216,197,254
SJF,17,39,9,4,37,46,37,85
SJF,18,41,3,1,6,9,6,50
SJF,19,41,10,4,54,64,54,105
SJF,20,44,17,1,155,172,155,216
SJF,21,44,5,1,6,11,6,55
SJF,22,48,10,3,57,67,57,115
SJF,23,51,4,3,4,8,4,59
SJF,24,52,15,0,100,115,100,167
Priority,0,4,16,2,0,16,0,20
Priority,1,9,5,1,11,16,11,25
Priority,2,14,8,1,11,19,11,33
Priority,3,14,10,2,87,97,87,111
Priority,4,14,11,3,117,128,117,142
Priority,5,17,2,4,192,194,192,211
Priority,6,20,12,2,91,103,91,123
Priority,7,26,4,0,7,11,7,37
Priority,8,27,16,4,184,200,184,227
Priority,9,29,14,3,113,127,113,156
Priority,10,29,19,3,127,146,127,175
Priority,11,31,16,0,6,22,6,53
Priority,12,34,8,1,34,42,34,76
Priority,13,35,20,3,140,160,140,195
Priority,14,38,9,4,189,198,189,236
Priority,15,38,8,2,85,93,85,131
Priority,16,38,19,4,198,217,198,255
Priority,17,39,9,4,216,225,216,264
Priority,18,41,3,1,35,38,35,79
Priority,19,41,10,4,223,233,223,274
Priority,20,44,17,1,35,52,35,96
Priority,21,44,5,1,52,57,52,101
Priority,22,48,10,3,147,157,147,205
Priority,23,51,4,3,154,158,154,209
Priority,24,52,15,0,1,16,1,68
Round Robin,0,4,16,2,23,39,0,43
Round Robin,1,9,5,1,19,24,3,33
Round Robin,2,14,8,1,25,33,6,47
Round Robin,3,14,10,2,112,122,10,136
Round Robin,4,14,11,3,126,137,14,151
Round Robin,5,17,2,4,16,18,16,35
Round Robin,6,20,12,2,147,159,15,179
Round Robin,7,26,4,0,21,25,21,51
Round Robin,8,27,16,4,195,211,24,238
Round Robin,9,29,14,3,197,211,30,240
Round Robin,10,29,19,3,218,237,34,266
Round Robin,11,31,16,0,201,217,36,248
Round Robin,12,34,8,1,113,121,41,155
Round Robin,13,35,20,3,215,235,44,270
Round Robin,14,38,9,4,170,179,45,217
Round Robin,15,38,8,2,121,129,49,167
Round Robin,16,38,19,4,216,235,53,273
Round Robin,17,39,9,4,174,183,56,222
Round Robin,18,41,3,1,62,65,62,106
Round Robin,19,41,10,4,173,183,65,224
Round Robin,20,44,17,1,213,230,66,274
Round Robin,21,44,5,1,139,144,70,188
Round Robin,22,48,10,3,172,182,70,230
Round Robin,23,51,4,3,71,75,71,126
Round Robin,24,52,15,0,196,211,74,263
