algorithm,pid,arrival_time,burst_time,priority,waiting_time,turnaround_time,response_time,completion_time
FCFS,0,4,19,2,0,19,0,23
FCFS,1,9,16,4,14,30,14,39
FCFS,2,14,8,4,25,33,25,47
FCFS,3,14,20,1,33,53,33,67
FCFS,4,14,9,4,53,62,53,76
FCFS,5,17,8,1,59,67,59,84
FCFS,6,20,19,1,64,83,64,103
FCFS,7,26,9,3,77,86,77,112
FCFS,8,27,3,3,85,88,85,115
FCFS,9,29,10,0,86,96,86,125
FCFS,10,29,17,4,96,113,96,142
FCFS,11,31,5,0,111,116,111,147
FCFS,12,34,10,4,113,123,113,157
FCFS,13,35,4,0,122,126,122,161
FCFS,14,38,15,3,123,138,123,176
FCFS,15,38,11,3,138,149,138,187
FCFS,16,38,8,3,149,157,149,195
FCFS,17,39,6,3,156,162,156,201
FCFS,18,41,12,2,160,172,160,213
FCFS,19,41,14,3,172,186,172,227
FCFS,20,44,19,1,183,202,183,246
FCFS,21,44,10,3,202,212,202,256
FCFS,22,48,5,2,208,213,208,261
FCFS,23,51,17,2,210,227,210,278
FCFS,24,52,13,2,226,239,226,291
FCFS,25,53,15,2,238,253,238,306
FCFS,26,54,3,0,252,255,252,309
FCFS,27,54,7,0,255,262,255,316
FCFS,28,54,16,1,262,278,262,332
FCFS,29,55,17,0,277,294,277,349
SJF,0,4,19,2,0,19,0,23
SJF,1,9,16,4,199,215,199,224
SJF,2,14,8,4,9,17,9,31
SJF,3,14,20,1,315,335,315,349
SJF,4,14,9,4,66,75,66,89
SJF,5,17,8,1,47,55,47,72
SJF,6,20,19,1,271,290,271,310
SJF,7,26,9,3,63,72,63,98
SJF,8,27,3,3,4,7,4,34
SJF,9,29,10,0,69,79,69,108
SJF,10,29,17,4,211,228,211,257
SJF,11,31,5,0,3,8,3,39
SJF,12,34,10,4,74,84,74,118
SJF,13,35,4,0,4,8,4,43
SJF,14,38,15,3,140,155,140,193
SJF,15,38,11,3,90,101,90,139
SJF,16,38,8,3,34,42,34,80
SJF,17,39,6,3,4,10,4,49
SJF,18,41,12,2,98,110,98,151
SJF,19,41,14,3,123,137,123,178
SJF,20,44,19,1,266,285,266,329
SJF,21,44,10,3,74,84,74,128
SJF,22,48,5,2,1,6,1,54
SJF,23,51,17,2,206,223,206,274
SJF,24,52,13,2,99,112,99,164
SJF,25,53,15,2,140,155,140,208
SJF,26,54,3,0,0,3,0,57
SJF,27,54,7,0,3,10,3,64
SJF,28,54,16,1,170,186,170,240
SJF,29,55,17,0,219,236,219,291
Priority,0,4,19,2,0,19,0,23
Priority,1,9,16,4,280,296,280,305
Priority,2,14,8,4,291,299,291,313
Priority,3,14,20,1,9,29,9,43
Priority,4,14,9,4,299,308,299,322
Priority,5,17,8,1,72,80,72,97
Priority,6,20,19,1,77,96,77,116
Priority,7,26,9,3,187,196,187,222
Priority,8,27,3,3,195,198,195,225
Priority,9,29,10,0,14,24,14,53
Priority,10,29,17,4,293,310,293,339
Priority,11,31,5,0,22,27,22,58
Priority,12,34,10,4,305,315,305,349
Priority,13,35,4,0,23,27,23,62
Priority,14,38,15,3,187,202,187,240
Priority,15,38,11,3,202,213,202,251
Priority,16,38,8,3,213,221,213,259
Priority,17,39,6,3,220,226,220,265
Priority,18,41,12,2,110,122,110,163
Priority,19,41,14,3,224,238,224,279
Priority,20,44,19,1,72,91,72,135
Priority,21,44,10,3,235,245,235,289
Priority,22,48,5,2,115,120,115,168
Priority,23,51,17,2,117,134,117,185
Priority,24,52,13,2,133,146,133,198
Priority,25,53,15,2,145,160,145,213
Priority,26,54,3,0,8,11,8,65
Priority,27,54,7,0,11,18,11,72
Priority,28,54,16,1,81,97,81,151
Priority,29,55,17,0,17,34,17,89
Round Robin,0,4,19,2,115,134,0,138
Round Robin,1,9,16,4,166,182,3,191
Round Robin,2,14,8,4,30,38,6,52
Round Robin,3,14,20,1,277,297,10,311
Round Robin,4,14,9,4,160,169,14,183
Round Robin,5,17,8,1,86,94,19,111
Round Robin,6,20,19,1,288,307,20,327
Round Robin,7,26,9,3,215,224,26,250
Round Robin,8,27,3,3,29,32,29,59
Round Robin,9,29,10,0,217,227,34,256
Round Robin,10,29,17,4,298,315,38,344
Round Robin,11,31,5,0,146,151,40,182
Round Robin,12,34,10,4,218,228,45,262
Round Robin,13,35,4,0,48,52,48,87
Round Robin,14,38,15,3,265,280,53,318
Round Robin,15,38,11,3,220,231,57,269
Round Robin,16,38,8,3,157,165,61,203
Round Robin,17,39,6,3,160,166,64,205
Round Robin,18,41,12,2,220,232,70,273
Round Robin,19,41,14,3,265,279,74,320
Round Robin,20,44,19,1,284,303,75,347
Round Robin,21,44,10,3,229,239,79,283
Round Robin,22,48,5,2,173,178,83,226
Round Robin,23,51,17,2,280,297,87,348
Round Robin,24,52,13,2,267,280,90,332
Round Robin,25,53,15,2,267,282,93,335
Round Robin,26,54,3,0,96,99,96,153
Round Robin,27,54,7,0,180,187,99,241
Round Robin,28,54,16,1,269,285,103,339
Round Robin,29,55,17,0,277,294,106,349
